curve,algorithm,error_metric,use_normal_coherence,classifier,noise_std,threshold_scale,threshold,run_idx,metric_value
RANSAC,ransac,first_order,True,misclassification,0.6,0.0,0.001,0,0.9976
RANSAC,ransac,first_order,True,misclassification,0.6,0.5,0.3,0,0.252
RANSAC,ransac,first_order,True,misclassification,0.6,1.0,0.6,0,0.0924
RANSAC,ransac,first_order,True,misclassification,0.6,1.5,0.8999999999999999,0,0.0628
RANSAC,ransac,first_order,True,misclassification,0.6,2.0,1.2,0,0.0168
RANSAC,ransac,first_order,True,misclassification,0.6,2.5,1.5,0,0.0058
RANSAC,ransac,first_order,True,misclassification,0.6,3.0,1.7999999999999998,0,0.0011
RANSAC,ransac,first_order,True,misclassification,0.6,3.5,2.1,0,0.0001
RANSAC,ransac,first_order,True,misclassification,0.6,4.0,2.4,0,0.0001
RANSAC,ransac,first_order,True,misclassification,0.6,4.5,2.6999999999999997,0,0.0
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,0.0,0.001,0,1.0
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,0.5,0.3,0,0.0013
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,1.0,0.6,0,0.0006
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,1.5,0.8999999999999999,0,0.0003
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,2.0,1.2,0,0.0008
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,2.5,1.5,0,0.0004
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,3.0,1.7999999999999998,0,0.0004
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,3.5,2.1,0,0.0003
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,4.0,2.4,0,0.0003
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,4.5,2.6999999999999997,0,0.0002
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,0.0,0.001,0,1.0
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,0.5,0.3,0,0.3577
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,1.0,0.6,0,0.048
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,1.5,0.8999999999999999,0,0.0189
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,2.0,1.2,0,0.0015
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,2.5,1.5,0,0.0006
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,3.0,1.7999999999999998,0,0.0006
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,3.5,2.1,0,0.0003
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,4.0,2.4,0,0.0004
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,4.5,2.6999999999999997,0,0.0005
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,0.0,0.001,0,1.2641158904465928
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,0.5,0.3,0,6.955838505645412
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,1.0,0.6,0,1.742397529240791
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,1.5,0.8999999999999999,0,1.5678072245800896
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,2.0,1.2,0,1.630926366855787
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,2.5,1.5,0,1.7680319842987877
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,3.0,1.7999999999999998,0,2.021268246209586
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,3.5,2.1,0,2.043997117401714
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,4.0,2.4,0,1.5782103956806834
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,4.5,2.6999999999999997,0,1.5712452401486654
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.6,0.0,0.001,0,nan
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.6,0.5,0.3,0,8.6527990986062
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.6,1.0,0.6,0,1.5435911656790382
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.6,1.5,0.8999999999999999,0,1.9122968052792304
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.6,2.0,1.2,0,1.9683935350092554
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.6,2.5,1.5,0,2.0371314202899424
