curve,algorithm,error_metric,use_normal_coherence,classifier,noise_std,threshold_scale,threshold,run_idx,metric_value
RANSAC,ransac,first_order,True,misclassification,0.1,,3.0,0,0.040818181818181816
RANSAC,ransac,first_order,True,misclassification,0.2,,3.0,0,0.041727272727272724
RANSAC,ransac,first_order,True,misclassification,0.3,,3.0,0,0.03554545454545455
RANSAC,ransac,first_order,True,misclassification,0.4,,3.0,0,0.04390909090909091
RANSAC,ransac,first_order,True,misclassification,0.5,,3.0,0,0.09527272727272727
RANSAC,ransac,first_order,True,misclassification,0.6,,3.0,0,0.02909090909090909
RANSAC,ransac,first_order,True,misclassification,0.7,,3.0,0,0.040818181818181816
RANSAC,ransac,first_order,True,misclassification,0.8,,3.0,0,0.03927272727272727
RANSAC,ransac,first_order,True,misclassification,0.9,,3.0,0,0.03827272727272727
RANSAC,ransac,first_order,True,misclassification,1.0,,3.0,0,0.04063636363636364
RANSAC,ransac,first_order,True,misclassification,1.1,,3.0,0,0.118
RANSAC,ransac,first_order,True,misclassification,1.2,,3.0,0,0.15936363636363637
RANSAC,ransac,first_order,True,misclassification,1.3,,3.0,0,0.045181818181818184
RANSAC,ransac,first_order,True,misclassification,1.4,,3.0,0,0.04863636363636364
RANSAC,ransac,first_order,True,misclassification,1.5,,3.0,0,0.05481818181818182
RANSAC,ransac,first_order,True,misclassification,1.6,,3.0,0,0.05445454545454546
RANSAC,ransac,first_order,True,misclassification,1.7,,3.0,0,0.05881818181818182
RANSAC,ransac,first_order,True,misclassification,1.8,,3.0,0,0.06436363636363636
RANSAC,ransac,first_order,True,misclassification,1.9,,3.0,0,0.06372727272727273
RANSAC,ransac,first_order,True,misclassification,2.0,,3.0,0,0.09281818181818181
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.1,,3.0,0,0.020545454545454544
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.2,,3.0,0,0.029818181818181817
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.3,,3.0,0,0.13345454545454546
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.4,,3.0,0,0.030818181818181817
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.5,,3.0,0,0.03609090909090909
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.6,,3.0,0,0.03481818181818182
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.7,,3.0,0,0.03945454545454546
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.8,,3.0,0,0.03736363636363636
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,0.9,,3.0,0,0.04418181818181818
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.0,,3.0,0,0.03727272727272727
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.1,,3.0,0,0.03945454545454546
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.2,,3.0,0,0.041727272727272724
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.3,,3.0,0,0.04018181818181818
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.4,,3.0,0,0.04290909090909091
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.5,,3.0,0,0.044636363636363634
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.6,,3.0,0,0.04727272727272727
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.7,,3.0,0,0.049545454545454545
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.8,,3.0,0,0.04536363636363636
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,1.9,,3.0,0,0.04718181818181818
GAIR-RANSAC first-order,gair-ransac,first_order,True,misclassification,2.0,,3.0,0,0.049363636363636366
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.1,,3.0,0,0.01572727272727273
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.2,,3.0,0,0.016
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.3,,3.0,0,0.016636363636363637
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.4,,3.0,0,0.01109090909090909
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.5,,3.0,0,0.02181818181818182
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.6,,3.0,0,0.015818181818181818
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.7,,3.0,0,0.017545454545454545
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.8,,3.0,0,0.025
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,0.9,,3.0,0,0.026545454545454546
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.0,,3.0,0,0.026
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.1,,3.0,0,0.020454545454545454
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.2,,3.0,0,0.026545454545454546
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.3,,3.0,0,0.02518181818181818
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.4,,3.0,0,0.03272727272727273
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.5,,3.0,0,0.02909090909090909
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.6,,3.0,0,0.03018181818181818
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.7,,3.0,0,0.029636363636363638
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.8,,3.0,0,0.03536363636363636
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,1.9,,3.0,0,0.032
GAIR-RANSAC radial,gair-ransac,radial,True,misclassification,2.0,,3.0,0,0.034727272727272725
RANSAC chamfer,ransac,first_order,True,chamfer,0.1,,3.0,0,9.888581029531695
RANSAC chamfer,ransac,first_order,True,chamfer,0.2,,3.0,0,0.7829690426929841
RANSAC chamfer,ransac,first_order,True,chamfer,0.3,,3.0,0,1.4359335972535159
RANSAC chamfer,ransac,first_order,True,chamfer,0.4,,3.0,0,3.9160025323135903
RANSAC chamfer,ransac,first_order,True,chamfer,0.5,,3.0,0,6.712306166791058
RANSAC chamfer,ransac,first_order,True,chamfer,0.6,,3.0,0,2.349637374795981
RANSAC chamfer,ransac,first_order,True,chamfer,0.7,,3.0,0,2.613270115845525
RANSAC chamfer,ransac,first_order,True,chamfer,0.8,,3.0,0,2.7168269016648092
RANSAC chamfer,ransac,first_order,True,chamfer,0.9,,3.0,0,7.78997397288935
RANSAC chamfer,ransac,first_order,True,chamfer,1.0,,3.0,0,4.372520207797398
RANSAC chamfer,ransac,first_order,True,chamfer,1.1,,3.0,0,4.17165238528065
RANSAC chamfer,ransac,first_order,True,chamfer,1.2,,3.0,0,7.173013560744475
RANSAC chamfer,ransac,first_order,True,chamfer,1.3,,3.0,0,5.239056282575787
RANSAC chamfer,ransac,first_order,True,chamfer,1.4,,3.0,0,5.354419854075575
RANSAC chamfer,ransac,first_order,True,chamfer,1.5,,3.0,0,9.92271779371841
RANSAC chamfer,ransac,first_order,True,chamfer,1.6,,3.0,0,11.244664678424959
RANSAC chamfer,ransac,first_order,True,chamfer,1.7,,3.0,0,7.714890157927558
RANSAC chamfer,ransac,first_order,True,chamfer,1.8,,3.0,0,10.66243549715956
RANSAC chamfer,ransac,first_order,True,chamfer,1.9,,3.0,0,7.138671932830565
RANSAC chamfer,ransac,first_order,True,chamfer,2.0,,3.0,0,2.566759691242419
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.1,,3.0,0,0.4500485671533754
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.2,,3.0,0,5.245788029155662
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.3,,3.0,0,4.56117487073612
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.4,,3.0,0,3.0163802649894196
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.5,,3.0,0,1.826899402525319
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.6,,3.0,0,2.3761790457637524
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.7,,3.0,0,5.215342634052324
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.8,,3.0,0,2.1383253529908712
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,0.9,,3.0,0,2.621173208775714
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,1.0,,3.0,0,3.2395468585436724
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,1.1,,3.0,0,4.310575303086347
GAIR-RANSAC first-order chamfer,gair-ransac,first_order,True,chamfer,1.2,,3.0,0,5.1554202025687275
