curve,algorithm,error_metric,use_normal_coherence,noise_std,threshold_scale,threshold,run_idx,misclassification_error
GAIR-RANSAC with normals,gair-ransac,radial,True,0.1,3.0,0.30000000000000004,0,0.0024375
GAIR-RANSAC with normals,gair-ransac,radial,True,0.2,3.0,0.6000000000000001,0,0.0034375
GAIR-RANSAC with normals,gair-ransac,radial,True,0.3,3.0,0.8999999999999999,0,0.00575
GAIR-RANSAC with normals,gair-ransac,radial,True,0.4,3.0,1.2000000000000002,0,0.005125
GAIR-RANSAC with normals,gair-ransac,radial,True,0.5,3.0,1.5,0,0.0065625
GAIR-RANSAC with normals,gair-ransac,radial,True,0.6,3.0,1.7999999999999998,0,0.008625
GAIR-RANSAC with normals,gair-ransac,radial,True,0.7,3.0,2.0999999999999996,0,0.010125
GAIR-RANSAC with normals,gair-ransac,radial,True,0.8,3.0,2.4000000000000004,0,0.01075
GAIR-RANSAC with normals,gair-ransac,radial,True,0.9,3.0,2.7,0,0.0130625
GAIR-RANSAC with normals,gair-ransac,radial,True,1.0,3.0,3.0,0,0.0138125
GAIR-RANSAC without normals,gair-ransac,radial,False,0.1,3.0,0.30000000000000004,0,0.002625
GAIR-RANSAC without normals,gair-ransac,radial,False,0.2,3.0,0.6000000000000001,0,0.003
GAIR-RANSAC without normals,gair-ransac,radial,False,0.3,3.0,0.8999999999999999,0,0.0054375
GAIR-RANSAC without normals,gair-ransac,radial,False,0.4,3.0,1.2000000000000002,0,0.0058125
GAIR-RANSAC without normals,gair-ransac,radial,False,0.5,3.0,1.5,0,0.0093125
GAIR-RANSAC without normals,gair-ransac,radial,False,0.6,3.0,1.7999999999999998,0,0.00975
GAIR-RANSAC without normals,gair-ransac,radial,False,0.7,3.0,2.0999999999999996,0,0.0108125
GAIR-RANSAC without normals,gair-ransac,radial,False,0.8,3.0,2.4000000000000004,0,0.019625
GAIR-RANSAC without normals,gair-ransac,radial,False,0.9,3.0,2.7,0,0.0200625
GAIR-RANSAC without normals,gair-ransac,radial,False,1.0,3.0,3.0,0,0.025125
RANSAC,ransac,first_order,True,0.1,3.0,0.30000000000000004,0,0.0034375
RANSAC,ransac,first_order,True,0.2,3.0,0.6000000000000001,0,0.006125
RANSAC,ransac,first_order,True,0.3,3.0,0.8999999999999999,0,0.0100625
RANSAC,ransac,first_order,True,0.4,3.0,1.2000000000000002,0,0.00925
RANSAC,ransac,first_order,True,0.5,3.0,1.5,0,0.015625
RANSAC,ransac,first_order,True,0.6,3.0,1.7999999999999998,0,0.0175
RANSAC,ransac,first_order,True,0.7,3.0,2.0999999999999996,0,0.0210625
RANSAC,ransac,first_order,True,0.8,3.0,2.4000000000000004,0,0.0220625
RANSAC,ransac,first_order,True,0.9,3.0,2.7,0,0.025
RANSAC,ransac,first_order,True,1.0,3.0,3.0,0,0.028125
