algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,1,827100649,0.01,0.22036284166197356,0.020549997842402027,0.19981284381957154,0.7223170161547288,0.8352722772277228,28.891281899996102,5,6717,0
vanilla,0,2051358190,0.01,0.16220880450755548,0.015288740476822342,0.14692006403073313,0.5763263299778116,0.8596534653465346,37.251344199990854,6,6925,0
vanilla,2,1722854353,0.01,0.16827767318871897,0.016611092815224132,0.15166658037349484,0.6720986584740503,0.8503712871287129,38.142060599988326,6,6843,0
vanilla,3,900258875,0.01,0.1779846039274286,0.01758598155696623,0.16039862237046237,0.6411040567721414,0.8741336633663367,39.023844100069255,6,7045,0
vanilla,4,1010931571,0.01,0.15498332162598866,0.017369180437181178,0.1376141411888075,0.5086768136589026,0.8663366336633663,40.32247549993917,6,6976,0
lo-ransac,4,1010931571,0.01,0.17817717041511577,0.016868459176491598,0.16130871123862417,0.6574078008839754,0.8821782178217822,52.19835870002862,5,7087,5
lo-ransac,2,1722854353,0.01,0.15773968099424376,0.0171230561462093,0.14061662484803447,0.523383103338451,0.8504950495049505,57.37068450008519,6,6851,8
lo-ransac,0,2051358190,0.01,0.16703605545927255,0.01801313880818296,0.1490229166510896,0.7257336147202906,0.864480198019802,67.0804608000908,5,6959,8
lo-ransac,1,827100649,0.01,0.13875358673044755,0.017829035673509883,0.12092455105693767,0.5872261566097817,0.8985148514851485,69.40998689993285,5,7232,7
lo-ransac,3,900258875,0.01,0.15490633646249552,0.017382547384453738,0.13752378907804177,0.6753929883082442,0.8866336633663366,93.22937830002047,6,7136,11
gc-ransac,1,827100649,0.01,0.10769341502881705,0.023049112380403167,0.08464430264841388,0.33876152698221307,0.717079207920792,274.8989549999824,2,5733,31
gair-ransac,1,827100649,0.01,0.07951931776836205,0.02680255673465019,0.052716761033711854,0.3819212389017924,0.7070544554455446,363.81409080000594,3,5637,67
gair-ransac,2,1722854353,0.01,0.10558934378847032,0.02155108864061162,0.0840382551478587,0.37047420285750066,0.6483910891089109,503.2852909999201,2,5164,55
gair-ransac,3,900258875,0.01,0.07224932322332728,0.011188616810005174,0.0610607064133221,0.38842800610088307,0.8837871287128712,402.10378739994485,5,7068,64
gair-ransac,4,1010931571,0.01,0.056887757962935534,0.01638781504041649,0.040499942922519044,0.378826859397866,0.7900990099009901,473.06698570004664,4,6309,76
gair-ransac,0,2051358190,0.01,0.072464364614531,0.026037808369094764,0.046426556245436235,0.37815829310956006,0.7107673267326733,498.6807741000084,3,5667,76
