algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,4,459200862,0.01,0.16256856071252043,0.009502056131947921,0.1530665045805725,0.7340153840422529,0.8301980198019802,35.46260200010147,7,6688,0
vanilla,2,1694006908,0.01,0.14345909904972257,0.008760963509925637,0.13469813553979693,0.5486019239107354,0.8551980198019802,41.2238896000199,7,6879,0
vanilla,0,830595272,0.01,0.15199025690376547,0.009050286541990932,0.14293997036177453,0.43298823819840865,0.872029702970297,41.56415420002304,7,7015,0
vanilla,1,1480093587,0.01,0.1641718027999629,0.008791240523598061,0.15538056227636485,0.7105621267241772,0.8256188118811881,44.57318920001853,8,6648,0
lo-ransac,2,1694006908,0.01,0.13867491681822514,0.008192667829958762,0.13048224898826638,0.49998102225497393,0.8909653465346534,58.613469599979,7,7171,11
lo-ransac,4,459200862,0.01,0.1911491880437044,0.009495935926303628,0.18165325211740077,0.7288584926980985,0.8439356435643565,64.73593119997531,8,6792,10
vanilla,3,298712190,0.01,0.17753449699813897,0.010766218954672137,0.16676827804346683,0.523287798994386,0.8591584158415841,67.50193850009236,8,6925,0
lo-ransac,1,1480093587,0.01,0.13635580244708592,0.008699440638171204,0.1276563618089147,0.6304749084433394,0.8751237623762376,78.59196719992906,7,7047,10
lo-ransac,3,298712190,0.01,0.13906346787241763,0.009739514315694751,0.12932395355672288,0.6168107618615408,0.866460396039604,83.77557900000829,8,6984,12
lo-ransac,0,830595272,0.01,0.15534676943688222,0.009078610463699115,0.1462681589731831,0.4933122900249176,0.848019801980198,84.73540969996247,7,6819,12
gair-ransac,4,459200862,0.01,0.02053627666539613,0.004986157901597143,0.015550118763798988,0.1687723362751473,0.8216584158415842,151.27985559997614,6,6564,40
gair-ransac,0,830595272,0.01,0.022146459518138303,0.005333772391391679,0.016812687126746623,0.15555809909885754,0.8352722772277228,152.83182630001102,6,6675,46
gc-ransac,1,1480093587,0.01,0.02560714140898712,0.008286194988704181,0.017320946420282937,0.1701585584174047,0.9044554455445545,167.02884579997044,4,7246,31
gc-ransac,0,830595272,0.01,0.1014270568941445,0.08605577376563239,0.015371283128512107,0.7534320128622429,0.6704207920792079,159.74965859996155,2,5344,39
gair-ransac,3,298712190,0.01,0.025018362818124418,0.006999660821303972,0.018018701996820447,0.16139823048096774,0.7951732673267327,187.8139406000264,5,6350,51
gair-ransac,1,1480093587,0.01,0.0240296448244729,0.0061010547589876625,0.017928590065485236,0.17822637737865885,0.7971534653465346,216.9401675000554,5,6367,53
gair-ransac,2,1694006908,0.01,0.02255166328565912,0.007839994988731806,0.014711668296927315,0.20173641568834483,0.74740099009901,180.3530581999803,4,5968,49
gc-ransac,3,298712190,0.01,0.03256764822575134,0.008105523256845552,0.02446212496890579,0.27623517554674576,0.9023514851485148,207.1525507000042,4,7229,56
gc-ransac,2,1694006908,0.01,0.11637847143520336,0.07861724097436751,0.03776123046083584,0.7139769022919158,0.7125,150.78456679999363,2,5687,40
gc-ransac,4,459200862,0.01,0.10148030846729647,0.08476843213992169,0.016711876327374784,0.7406450467676778,0.6675742574257426,119.8045584000647,2,5323,32
