algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,1735930027,0.2,0.1418536089987471,0.013409869461989622,0.12844373953675747,0.6118655736126756,0.854375,55.809572299942374,10,7783,0
vanilla,4,995394426,0.2,0.1325362235342604,0.01617354388929975,0.11636267964496065,0.5344416705539371,0.7930208333333333,58.126137700048275,10,7218,0
vanilla,3,741103076,0.2,0.12513801545324052,0.01601576996326686,0.10912224548997365,0.5368955985450968,0.8291666666666667,59.51085049996618,10,7574,0
vanilla,1,1191958319,0.2,0.13473663847420303,0.013653008288363168,0.12108363018583987,0.570124535438495,0.8570833333333333,60.55441889993381,10,7833,0
vanilla,2,21398927,0.2,0.12934228382841853,0.013378298241382137,0.11596398558703638,0.49435010020313563,0.8548958333333333,61.67881319997832,10,7807,0
lo-ransac,0,1735930027,0.2,0.1352775226475753,0.01418549416877972,0.1210920284787956,0.6871790242935268,0.8523958333333334,82.16241609991994,10,7839,15
lo-ransac,1,1191958319,0.2,0.11993298076941425,0.013269636567477292,0.10666334420193696,0.5935913222438919,0.8573958333333334,84.13047139998525,10,7859,15
lo-ransac,4,995394426,0.2,0.13217653616519967,0.014726920875062673,0.11744961529013699,0.6117964390042981,0.8407291666666666,89.81439559999853,10,7724,14
lo-ransac,3,741103076,0.2,0.13705737145051605,0.01658549345313508,0.12047187799738096,0.5889948657412744,0.8327083333333334,96.10746850003488,10,7672,16
lo-ransac,2,21398927,0.2,0.13697257801935564,0.01402057034769906,0.1229520076716566,0.6792468269149364,0.8496875,99.04839720006566,10,7837,15
gair-ransac,2,21398927,0.2,0.031241794310968362,0.012847316663002217,0.018394477647966145,0.11815369640787524,0.9798958333333333,117.14582640002482,5,7913,47
gair-ransac,4,995394426,0.2,0.032119753422661566,0.013393103455271756,0.018726649967389812,0.13119105903747338,0.9808333333333333,129.54475560004357,5,7919,45
gair-ransac,0,1735930027,0.2,0.03312931347176534,0.014327771081609734,0.018801542390155607,0.10971710678985161,0.9801041666666667,135.70311169989873,5,7918,49
gc-ransac,3,741103076,0.2,0.06787466081272277,0.017121540537769982,0.05075312027495278,0.31441961491110676,0.9011458333333333,153.96067419997416,2,7446,28
gc-ransac,1,1191958319,0.2,0.06714572850352267,0.018633298533160703,0.04851242997036197,0.31993149048112224,0.8938541666666666,169.99767019995488,2,7456,28
gc-ransac,2,21398927,0.2,0.06305243945004664,0.05238557309267571,0.010666866357370925,0.5038810067361066,0.8704166666666666,144.55685000005178,1,6971,26
gair-ransac,3,741103076,0.2,0.033900406538759295,0.014241073186362155,0.019659333352397144,0.13223793387700486,0.9788541666666667,160.22603739995975,5,7909,50
gair-ransac,1,1191958319,0.2,0.035020512276383996,0.01287365438444515,0.022146857891938848,0.18897986470851588,0.9795833333333334,153.65629740001168,5,7913,51
gc-ransac,4,995394426,0.2,0.07967769146546899,0.020421321733215692,0.059256369732253296,0.3224805768776304,0.891875,196.59167589992285,2,7402,33
gc-ransac,0,1735930027,0.2,0.10070512673721428,0.018611314023513514,0.08209381271370077,0.31837813899712203,0.8635416666666667,203.91914450004697,3,7547,34
