algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,4,1551996105,0.2,0.1637334968086372,0.012982242467962384,0.1507512543406748,0.7902372125993175,0.7786458333333334,44.14747369999532,10,7089,0
vanilla,0,289994559,0.2,0.15809755846079757,0.0126943644751975,0.14540319398560006,0.6311399740868112,0.80625,48.52987910003867,10,7399,0
vanilla,1,1553877037,0.2,0.1280326167608688,0.013095756841307928,0.11493685991956087,0.5771602322044882,0.7796875,48.55246639996767,9,7042,0
vanilla,2,1350982750,0.2,0.12405753917853554,0.011956141012862066,0.11210139816567348,0.5867710296088381,0.8078125,50.253545099985786,9,7379,0
vanilla,3,783428833,0.2,0.1549006747952681,0.012132054365717166,0.14276862042955094,0.6453117425750554,0.8045833333333333,51.07549379998818,10,7355,0
lo-ransac,0,289994559,0.2,0.12285506564455369,0.010361505831984905,0.11249355981256878,0.5119072658359571,0.8545833333333334,63.97483630001079,10,7905,18
lo-ransac,4,1551996105,0.2,0.13753292863393488,0.011959482620829359,0.12557344601310552,0.5656642413966871,0.8040625,69.58615749992896,10,7390,16
lo-ransac,1,1553877037,0.2,0.13101926753668103,0.012274497895501143,0.11874476964117989,0.5504503986311363,0.8132291666666667,71.82126190001145,10,7510,15
lo-ransac,2,1350982750,0.2,0.14403452754514504,0.011000503305982162,0.13303402423916288,0.7511301581072589,0.8453125,72.11525289993733,10,7804,15
lo-ransac,3,783428833,0.2,0.13989366158689387,0.01110367216980036,0.12878998941709352,0.5533885974121713,0.8340625,81.03729740006384,9,7701,13
gc-ransac,4,1551996105,0.2,0.0418378900946202,0.014422599399545072,0.027415290695075128,0.15803944902014888,0.9019791666666667,118.01431100000627,2,7366,27
gc-ransac,2,1350982750,0.2,0.03740840205560708,0.011714390258926928,0.025694011796680155,0.1586964357160999,0.9567708333333333,141.91332239995245,2,7877,28
gc-ransac,0,289994559,0.2,0.048548136082131294,0.01313330037532403,0.035414835706807264,0.17926466936739768,0.9171875,154.45758459996432,2,7546,25
gair-ransac,3,783428833,0.2,0.03746372940341089,0.011505241670767415,0.025958487732643476,0.16281947677247055,0.9352083333333333,186.66598240006715,2,7476,72
gair-ransac,4,1551996105,0.2,0.04505593626665348,0.010891786091553866,0.03416415017509961,0.21958052542541168,0.9408333333333333,184.18797789991368,3,7588,77
gair-ransac,1,1553877037,0.2,0.037431899104057434,0.011465793880008984,0.02596610522404845,0.16090355420988536,0.9361458333333333,191.1546445999993,2,7485,72
gc-ransac,1,1553877037,0.2,0.0872785083806316,0.03626132540274953,0.05101718297788207,0.2133035085322236,0.7405208333333333,216.79996009997558,1,5855,34
gc-ransac,3,783428833,0.2,0.08678277197279097,0.03613571927796601,0.05064705269482495,0.21692977428267454,0.7404166666666666,213.56307739997283,1,5858,35
gair-ransac,2,1350982750,0.2,0.03710925896811351,0.011347930073341766,0.02576132889477175,0.1611468775952579,0.93625,229.11109919997398,2,7486,86
gair-ransac,0,289994559,0.2,0.03692660805124018,0.011381075082332014,0.025545532968908168,0.16230015979468992,0.9355208333333334,228.39232929993887,2,7479,81
