algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,3,1284314016,0.3,0.16101212584792762,0.016362576111081713,0.1446495497368459,0.7076170564733665,0.7219251336898396,27.097513300017454,6,1202,0
vanilla,0,202369183,0.3,0.16159752837038374,0.016383907478234126,0.14521362089214962,0.7668464273240715,0.6930481283422459,33.93826339999214,7,1183,0
vanilla,1,1766705601,0.3,0.15162528601538172,0.01553974671478429,0.13608553930059744,0.6897479402566373,0.725668449197861,34.052011299994774,7,1232,0
vanilla,2,343743907,0.3,0.1618044569559841,0.015884759254819112,0.145919697701165,0.6093673286088721,0.7021390374331551,35.547006400011014,7,1196,0
vanilla,4,700761324,0.3,0.15610385656807835,0.015677832545345046,0.1404260240227333,0.5926526579569201,0.7283422459893049,36.807414299983066,7,1225,0
lo-ransac,4,700761324,0.3,0.15907529547040408,0.014837803415894503,0.1442374920545096,0.6893730605583156,0.7358288770053476,43.027407399960794,7,1261,10
lo-ransac,1,1766705601,0.3,0.15499902763360712,0.014899000168392166,0.14010002746521497,0.5744786088711494,0.7074866310160428,44.22643760003848,7,1218,12
lo-ransac,2,343743907,0.3,0.13863383097408202,0.014595442649886305,0.12403838832419573,0.5244029320922696,0.7331550802139037,46.78962950001005,7,1253,11
lo-ransac,0,202369183,0.3,0.13739233382233743,0.014125366699299159,0.12326696712303828,0.6069570278223148,0.725668449197861,52.01431890000822,7,1249,10
lo-ransac,3,1284314016,0.3,0.16931190989461034,0.015434298228428532,0.1538776116661818,0.5675106008804149,0.7358288770053476,58.68727960000979,7,1279,11
gair-ransac,2,343743907,0.3,0.07152472427590986,0.04498223468516985,0.026542489590740015,0.2954717932619197,0.6695187165775401,114.3799452999956,2,847,66
gc-ransac,3,1284314016,0.3,0.10526656877101023,0.04984688111681586,0.055419687654194374,0.29359721246280907,0.5711229946524065,126.58514589996776,1,698,26
gc-ransac,1,1766705601,0.3,0.14312849284817547,0.055970413611019273,0.0871580792371562,0.34759041089263126,0.5267379679144385,129.11531670001568,1,623,26
gc-ransac,2,343743907,0.3,0.0924794375259254,0.02332650227445097,0.06915293525147442,0.3030101015058483,0.7267379679144385,133.81119639996905,2,1032,26
gc-ransac,4,700761324,0.3,0.15032880058280337,0.059405920702295244,0.09092287988050814,0.3487043182651573,0.5267379679144385,143.95373890001792,1,619,33
gc-ransac,0,202369183,0.3,0.15439505609055923,0.048183059424419285,0.10621199666613994,0.5035123166930268,0.56951871657754,147.21205680002458,1,683,33
gair-ransac,1,1766705601,0.3,0.05307057595990083,0.013507880307291982,0.039562695652608844,0.20898554411599232,0.9165775401069519,156.285279899952,5,1316,46
gair-ransac,4,700761324,0.3,0.04914064889177533,0.017956477880707172,0.031184171011068153,0.17319743486667746,0.8620320855614974,169.74856059998274,4,1207,51
gair-ransac,3,1284314016,0.3,0.04987728152255731,0.019763225740971512,0.030114055781585804,0.1524436485149203,0.8032085561497326,174.6374396000174,3,1099,55
gair-ransac,0,202369183,0.3,0.04502275964274487,0.012083341658201213,0.032939417984543654,0.18820362854151498,0.9117647058823529,227.62772380001843,4,1306,60
