algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,6289970,0.3,0.12830291188476117,0.0131074056863589,0.11519550619840227,0.4294971143342462,0.7251923076923077,51.6596238000202,10,6978,0
vanilla,1,2030584322,0.3,0.1406181585175246,0.013565121213356875,0.12705303730416773,0.4907119827742227,0.7274038461538461,55.24404690001393,10,6968,0
vanilla,2,377315876,0.3,0.14093176128324975,0.01339390847111944,0.12753785281213031,0.46852326713056897,0.7173076923076923,55.76959889999125,10,6924,0
vanilla,3,1088549469,0.3,0.1411827300403647,0.013395230330779898,0.12778749970958478,0.6290004366580219,0.7149038461538462,58.46713040000759,10,6826,0
vanilla,4,1376397831,0.3,0.164311817019292,0.014286853891172345,0.15002496312811966,0.7557642193796024,0.7045192307692307,59.16084359999513,10,6751,0
lo-ransac,2,377315876,0.3,0.13861932946074526,0.013530058439699481,0.12508927102104578,0.4857191784683596,0.7203846153846154,73.29436629998963,10,6992,15
lo-ransac,4,1376397831,0.3,0.15191883705303402,0.012846655693815639,0.1390721813592184,0.5719407901061878,0.7128846153846153,77.8001884999685,10,6914,14
lo-ransac,3,1088549469,0.3,0.16873068667221056,0.014055019811557245,0.15467566686065332,0.620990473879449,0.71625,81.00995129998773,10,6930,16
lo-ransac,0,6289970,0.3,0.15239599751716343,0.013051837093397562,0.13934416042376588,0.5891139286022059,0.7148076923076923,89.27848850004375,10,6943,17
lo-ransac,1,2030584322,0.3,0.14600485200395424,0.012928676146103633,0.13307617585785061,0.5373057168991746,0.7127884615384615,91.54272480000509,10,6887,15
gc-ransac,2,377315876,0.3,0.10116064568033617,0.019119091495963608,0.08204155418437256,0.2872510490716433,0.7632692307692308,146.07538340002066,3,6570,25
gc-ransac,1,2030584322,0.3,0.11882304384647496,0.027428859417900603,0.09139418442857436,0.42597072818742066,0.6947115384615384,157.2849644999951,2,5537,27
gc-ransac,4,1376397831,0.3,0.08783847994836966,0.019576922020769903,0.06826155792759976,0.2679917872939099,0.7586538461538461,158.31252889998723,3,6535,28
gair-ransac,0,6289970,0.3,0.03927759174627815,0.013450737800297622,0.02582685394598053,0.19792830615134535,0.7429807692307693,164.25178440002492,6,5540,52
gair-ransac,4,1376397831,0.3,0.04181870087076281,0.01564345625144426,0.02617524461931855,0.2553694935972513,0.7233653846153846,170.29866480000783,5,5308,56
gair-ransac,1,2030584322,0.3,0.03485595032383337,0.014726931795626999,0.020129018528206376,0.23517577760830094,0.7635576923076923,178.69113180000568,6,5729,55
gc-ransac,0,6289970,0.3,0.09023186984740583,0.022181882060527004,0.06804998778687883,0.2785339434243446,0.7217307692307692,181.3546249999781,2,5799,37
gair-ransac,2,377315876,0.3,0.04213518236738844,0.017971610477490612,0.024163571889897827,0.24469095381702569,0.718173076923077,188.50988919998053,6,5231,59
gc-ransac,3,1088549469,0.3,0.08816351765740571,0.01659089812689701,0.0715726195305087,0.2850565639652069,0.7913461538461538,200.37217390001751,4,7065,38
gair-ransac,3,1088549469,0.3,0.041638804138513535,0.016409576599930815,0.025229227538582723,0.23908839397335588,0.7192307692307692,214.86591209995095,6,5233,66
