algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,1,2117812729,0.4,0.16841913626218172,0.018942520548495465,0.14947661571368626,0.4568603264039509,0.6691729323308271,67.25928350002505,5,448,0
vanilla,4,892985301,0.4,0.1919316936525797,0.016874134952279685,0.17505755870030001,0.5926210990088988,0.6654135338345865,69.9076660000137,6,471,0
vanilla,3,1456355693,0.4,0.15920251749097972,0.01617322378805493,0.14302929370292478,0.487585511004865,0.6892230576441103,82.87096520001069,6,479,0
vanilla,2,195385451,0.4,0.1882462605463216,0.017831087823384967,0.17041517272293663,0.5620757757636913,0.6278195488721805,84.40364860004047,7,461,0
vanilla,0,635187140,0.4,0.1722731662867925,0.018374418824093634,0.15389874746269888,0.6014771811273052,0.6528822055137845,89.47881409997353,6,449,0
lo-ransac,2,195385451,0.4,0.19549605426234576,0.016987052605435978,0.17850900165690978,0.7115647791378504,0.6992481203007519,90.34395259997109,5,482,9
lo-ransac,0,635187140,0.4,0.1538583700547893,0.017871495075580144,0.13598687497920917,0.45976672634343585,0.6904761904761905,95.04612880002242,5,475,8
lo-ransac,3,1456355693,0.4,0.16596439571691657,0.015211235135662644,0.15075316058125393,0.7914293345100986,0.6616541353383458,102.83233079995262,6,472,8
lo-ransac,1,2117812729,0.4,0.16984635736472456,0.018487998137864118,0.15135835922686044,0.5673274829312066,0.6691729323308271,103.21700659999624,5,455,7
lo-ransac,4,892985301,0.4,0.19788047896855232,0.01819131258988992,0.1796891663786624,0.6831966806663523,0.6804511278195489,110.64806050003972,6,480,8
gair-ransac,0,635187140,0.4,0.08357935497597649,0.059303907741427846,0.024275447234548636,0.4142537290527911,0.6541353383458647,204.09016939997673,2,298,47
gair-ransac,3,1456355693,0.4,0.09839911779650244,0.07950504236416886,0.018894075432333585,0.39578042335077224,0.6591478696741855,220.40669769997476,2,302,43
gair-ransac,4,892985301,0.4,0.09649246172118167,0.07929694170722515,0.01719552001395652,0.42285564972003215,0.6541353383458647,239.82214409997687,2,297,52
gair-ransac,2,195385451,0.4,0.08556403159180989,0.06025605203250869,0.02530797955930121,0.4421491868661205,0.6478696741854637,286.6529812000226,2,295,66
gair-ransac,1,2117812729,0.4,0.08071996451202976,0.05954408856268568,0.02117587594934408,0.43606312450851337,0.6641604010025063,319.73815479996847,3,308,41
