algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,1014630350,0.05,0.1210087517316594,0.009779385302505494,0.1112293664291539,0.3702623111408399,0.8693181818181818,16.696959399967454,4,1207,0
vanilla,1,2087910869,0.05,0.1429398393099962,0.012241096143843824,0.13069874316615238,0.41163568799763656,0.8785511363636364,17.942174699972384,3,1219,0
vanilla,4,183499580,0.05,0.15267035860392578,0.011276151941514411,0.14139420666241137,0.43970526199252746,0.9090909090909091,18.124947500007693,4,1267,0
vanilla,2,596588266,0.05,0.15012241702776594,0.010635159583576524,0.1394872574441894,0.4513174916727722,0.9048295454545454,19.24201119999634,4,1255,0
vanilla,3,906437584,0.05,0.17945773290273143,0.012191546826998242,0.16726618607573318,0.4916335715724613,0.8806818181818182,21.348157399974298,4,1222,0
lo-ransac,1,2087910869,0.05,0.15444143455727238,0.011416390569413022,0.14302504398785937,0.38644714829421667,0.8934659090909091,25.40236070001265,3,1238,5
lo-ransac,2,596588266,0.05,0.10904231976669006,0.009900938849870604,0.09914138091681945,0.3254840736403199,0.8870738636363636,27.530281600018498,3,1225,4
lo-ransac,3,906437584,0.05,0.13972327157137424,0.01310984636975583,0.12661342520161842,0.4356117716870485,0.8884943181818182,28.182747200015,3,1222,4
lo-ransac,0,1014630350,0.05,0.10331268790294536,0.010639934138055971,0.09267275376488938,0.30706875738595835,0.9311079545454546,29.888967300008517,3,1280,5
lo-ransac,4,183499580,0.05,0.15886608148621437,0.012336859298767792,0.14652922218744657,0.5470501952750967,0.8849431818181818,32.204436300031375,4,1237,6
gc-ransac,0,1014630350,0.05,0.057965014392481314,0.010834131521060953,0.04713088287142036,0.19095016609917725,0.9325284090909091,83.7205959999701,2,1267,26
gair-ransac,1,2087910869,0.05,0.040616546440311034,0.006302360535404839,0.034314185904906196,0.1617244797075851,0.9673295454545454,95.1482594999834,3,1305,30
gc-ransac,4,183499580,0.05,0.2071356998305679,0.18195000412930132,0.025185695701266584,0.8416893074678783,0.6768465909090909,98.93264590000035,1,888,27
gc-ransac,3,906437584,0.05,0.21067008916586794,0.18200133550079517,0.028668753665072755,0.8415190068856752,0.6697443181818182,99.67415410000831,1,879,28
gc-ransac,2,596588266,0.05,0.2060327807549952,0.18043043432769537,0.025602346427299836,0.8327851531632178,0.6747159090909091,103.950841999962,1,887,30
gc-ransac,1,2087910869,0.05,0.06293133400222951,0.011576083752539169,0.05135525024969035,0.18090005396506867,0.9268465909090909,106.8236480000196,2,1264,25
gair-ransac,0,1014630350,0.05,0.05066338422715011,0.013211386026285441,0.037451998200864665,0.23671008013391462,0.9154829545454546,112.9824241999886,2,1231,35
gair-ransac,3,906437584,0.05,0.048796977706928216,0.014795701279639879,0.03400127642728834,0.23680150786894572,0.8764204545454546,138.31770999997389,3,1175,45
gair-ransac,2,596588266,0.05,0.19927990022948303,0.18387859184368852,0.015401308385794515,0.8387761310074657,0.6647727272727273,195.2559687999892,1,870,71
gair-ransac,4,183499580,0.05,0.03949410404025769,0.014772624164089598,0.02472147987616809,0.23691322890738442,0.8394886363636364,216.93320919998223,3,1120,54
