algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,4,1989597814,0.3,0.10902738314442477,0.014470425798220166,0.0945569573462046,0.44976641122332256,0.7311538461538462,44.69320969999535,10,6979,0
vanilla,1,2136641604,0.3,0.1150150371765104,0.015622586520677809,0.09939245065583259,0.7770793929719991,0.7148076923076923,46.00371710001491,10,6788,0
vanilla,3,1122661969,0.3,0.11308066134528183,0.014722276473835939,0.0983583848714459,0.49057445579637743,0.7136538461538462,48.91508310002973,10,6763,0
vanilla,2,1844294814,0.3,0.12521954570436583,0.015399286422429527,0.1098202592819363,0.7753135152159985,0.7115384615384616,51.5897003999562,10,6724,0
vanilla,0,585666749,0.3,0.11650350444370403,0.015162096169045739,0.10134140827465829,0.47488585222964763,0.7050961538461539,52.000656500051264,10,6708,0
lo-ransac,2,1844294814,0.3,0.11314572189110093,0.01461805704089292,0.09852766485020802,0.4447349481388368,0.7275,68.6172306999797,10,6967,12
lo-ransac,1,2136641604,0.3,0.11980730018066639,0.015128270125046594,0.10467903005561979,0.4281750950483229,0.7258653846153846,73.77703749999637,10,6910,13
lo-ransac,0,585666749,0.3,0.11919803581842907,0.014916269125662573,0.1042817666927665,0.5795875151626647,0.7103846153846154,77.48646909999661,10,6789,15
lo-ransac,3,1122661969,0.3,0.12074952670841968,0.014577185822281048,0.10617234088613864,0.6672808014432983,0.7366346153846154,81.68764570000349,10,7093,16
lo-ransac,4,1989597814,0.3,0.12277113196845854,0.013760283108765474,0.10901084885969306,0.6241116023985456,0.7630769230769231,85.01932249998208,10,7346,15
gair-ransac,0,585666749,0.3,0.04978837903484662,0.012374427193523852,0.03741395184132277,0.2857122563285198,0.96875,95.49055789998965,4,7984,63
gair-ransac,2,1844294814,0.3,0.0573871265506897,0.01889797069923065,0.03848915585145905,0.28752514494285814,0.9117307692307692,104.34527589997742,3,7335,65
gair-ransac,1,2136641604,0.3,0.05065194861200298,0.01223551597781708,0.0384164326341859,0.26886053871504184,0.9653846153846154,124.82467259996338,4,7995,62
gair-ransac,4,1989597814,0.3,0.052970874586944154,0.02222649196109114,0.030744382625853012,0.16691559829802716,0.8039423076923077,134.64440839999588,2,6150,68
gc-ransac,3,1122661969,0.3,0.07409936939897428,0.02042553355882486,0.053673835840149425,0.2797842124833937,0.7836538461538461,152.74524909997126,3,6662,29
gair-ransac,3,1122661969,0.3,0.05234946758929601,0.022132134771333738,0.030217332817962277,0.1645685460299415,0.7955769230769231,156.54363050003303,2,6079,60
gc-ransac,2,1844294814,0.3,0.07434891425419747,0.020922512651290654,0.05342640160290682,0.22796505054104402,0.7593269230769231,167.61562359996606,3,6473,29
gc-ransac,1,2136641604,0.3,0.07377453346432214,0.02145490454267373,0.05231962892164842,0.20774364391260652,0.7523076923076923,175.4874572000117,3,6382,31
gc-ransac,4,1989597814,0.3,0.06721928038071863,0.020585505068350902,0.04663377531236773,0.2103800049468008,0.7683653846153846,183.68982139998116,3,6607,36
gc-ransac,0,585666749,0.3,0.07103176263411788,0.020963318414880507,0.050068444219237375,0.2004083625605212,0.7591346153846154,185.9115618999931,3,6491,36
