algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,721560819,0.2,0.06316330012953687,0.014823660910600693,0.048339639218936185,0.14423706623540442,0.8777555110220441,9.367541300016455,2,393,0
vanilla,4,1175509482,0.2,0.06541161256839002,0.015235438387447887,0.05017617418094214,0.15749752432962327,0.8817635270541082,11.899901999975555,2,395,0
lo-ransac,2,1153974482,0.2,0.06539487585601456,0.013749957740954206,0.05164491811506035,0.2366906719202516,0.8857715430861723,12.091288900002837,2,395,2
lo-ransac,0,721560819,0.2,0.06621771393245991,0.014773613531965832,0.05144410040049408,0.2181603466215538,0.8677354709418837,12.320421800017357,2,389,2
vanilla,3,1928932686,0.2,0.06397368767730112,0.014063148121343072,0.04991053955595805,0.15539788986043163,0.8957915831663327,12.72866740002064,2,399,0
lo-ransac,3,1928932686,0.2,0.06380486652856537,0.015563581247580636,0.048241285280984744,0.23708372154425633,0.8797595190380761,13.331653400033247,2,397,3
vanilla,2,1153974482,0.2,0.06556200429734388,0.014613980655006333,0.05094802364233754,0.2215117016109055,0.9038076152304609,13.502375100040808,2,404,0
vanilla,1,671918867,0.2,0.07266459858705861,0.014753079369699504,0.0579115192173591,0.23549386905098427,0.875751503006012,14.090469699993264,2,391,0
lo-ransac,4,1175509482,0.2,0.06802439903320466,0.015145345847537916,0.05287905318566675,0.138858777837781,0.8897795591182365,14.450704899965785,2,400,2
lo-ransac,1,671918867,0.2,0.06709336688039455,0.01435568574445044,0.052737681135944105,0.24705530091560454,0.8677354709418837,14.853225499973632,2,391,3
gc-ransac,3,1928932686,0.2,0.05248034713568574,0.01836330224561289,0.03411704489007285,0.10195155597246361,0.8677354709418837,54.39579300000332,1,368,20
gc-ransac,1,671918867,0.2,0.055896303088564955,0.020368502096565617,0.03552780099199934,0.09877975514960213,0.843687374749499,68.86156349995872,1,356,28
gc-ransac,0,721560819,0.2,0.05273224394540199,0.018766615116357473,0.03396562882904452,0.10180715219133411,0.8637274549098196,93.60148780001327,1,363,29
gc-ransac,2,1153974482,0.2,0.05538325996614459,0.019972068437074622,0.03541119152906997,0.1023768846129625,0.8657314629258517,98.22140710003441,1,366,25
gair-ransac,1,671918867,0.2,0.0534109670712815,0.019046965700285905,0.034364001370995594,0.10347747499125401,0.8797595190380761,104.41465709998738,1,363,36
gair-ransac,3,1928932686,0.2,0.05294396641942825,0.018793066184079797,0.034150900235348454,0.10547421178218563,0.87374749498998,108.08965350000653,1,361,37
gair-ransac,2,1153974482,0.2,0.055178757644096105,0.01982721120033457,0.03535154644376153,0.09922042193529357,0.8797595190380761,112.81211429997347,1,361,48
gair-ransac,4,1175509482,0.2,0.05201156903966561,0.018037005517921093,0.03397456352174452,0.10094612320978556,0.8977955911823647,122.27686799998628,1,371,48
gc-ransac,4,1175509482,0.2,0.052285358898608414,0.018200161480830056,0.03408519741777836,0.09783548393241218,0.8657314629258517,122.6369678999763,1,366,30
gair-ransac,0,721560819,0.2,0.051697409632358825,0.018183362277947486,0.03351404735441134,0.10190404067989295,0.8797595190380761,147.9102358999662,1,363,50
