pc,outlier_frac,algo,chamfer,cd_coverage,cd_accuracy,hausdorff,k,n_covered,n_evals,n_candidates
bird,0.0,gair-ransac,0.085508,0.051658,0.03385,0.262323,1,774,20,20
bird,0.0,gc-ransac,0.084321,0.047636,0.036685,0.23463,1,742,9,9
bird,0.0,lo-ransac,0.081545,0.047882,0.033663,0.229655,1,767,22,22
bird,0.0,vanilla,0.080139,0.046458,0.033681,0.227562,1,745,24,24
bird,0.05,gair-ransac,0.085369,0.051387,0.033981,0.258225,1,784,19,19
bird,0.05,gc-ransac,0.081703,0.048873,0.032831,0.264902,1,748,8,8
bird,0.05,lo-ransac,0.082166,0.045834,0.036332,0.234315,1,790,23,23
bird,0.05,vanilla,0.089288,0.045841,0.043447,0.248247,1,737,25,25
bird,0.1,gair-ransac,0.0847,0.04962,0.035079,0.245632,1,767,17,17
bird,0.1,gc-ransac,0.080373,0.046901,0.033472,0.232369,1,755,9,9
bird,0.1,lo-ransac,0.087896,0.053434,0.034462,0.283996,1,764,26,26
bird,0.1,vanilla,0.147738,0.050908,0.09683,0.478989,1,660,25,25
bird,0.15,gair-ransac,0.082975,0.049107,0.033868,0.24155,1,776,19,19
bird,0.15,gc-ransac,0.092623,0.046878,0.045745,0.255101,1,723,8,8
bird,0.15,lo-ransac,0.082666,0.047759,0.034908,0.233685,1,770,28,28
bird,0.15,vanilla,0.172652,0.053326,0.119326,0.456622,1,634,32,32
bird,0.2,gair-ransac,0.08212,0.048262,0.033858,0.23553,1,774,19,19
bird,0.2,gc-ransac,0.083795,0.048515,0.03528,0.245437,1,734,7,7
bird,0.2,lo-ransac,0.081047,0.049875,0.031172,0.242011,1,715,30,30
bird,0.2,vanilla,0.082482,0.052184,0.030298,0.232863,1,696,30,30
bird,0.25,gair-ransac,0.099956,0.064338,0.035618,0.354219,1,769,20,20
bird,0.25,gc-ransac,0.085876,0.051682,0.034194,0.250429,1,749,5,5
bird,0.25,lo-ransac,0.129081,0.047894,0.081187,0.433243,1,713,33,33
bird,0.25,vanilla,0.100221,0.057318,0.042903,0.272827,1,666,32,32
bird,0.3,gair-ransac,0.082875,0.050232,0.032643,0.252684,1,780,18,18
bird,0.3,gc-ransac,0.105267,0.049847,0.05542,0.293597,1,698,6,6
bird,0.3,lo-ransac,0.143613,0.049162,0.094451,0.473048,1,696,35,35
bird,0.3,vanilla,0.174348,0.055637,0.118711,0.445028,1,639,34,34
bird,0.35,gair-ransac,0.086079,0.052246,0.033833,0.269292,1,762,20,20
bird,0.35,gc-ransac,0.149004,0.049104,0.0999,0.498093,1,683,6,6
bird,0.35,lo-ransac,0.089412,0.05151,0.037902,0.260151,1,704,37,37
bird,0.35,vanilla,0.084149,0.046128,0.038021,0.244934,1,732,37,37
bird,0.4,gair-ransac,0.091254,0.057689,0.033565,0.301089,1,753,19,19
bird,0.4,gc-ransac,0.081793,0.046472,0.035321,0.240882,1,731,6,6
bird,0.4,lo-ransac,0.12689,0.049299,0.07759,0.398036,1,705,37,37
bird,0.4,vanilla,0.178682,0.058778,0.119904,0.413706,1,598,41,41
cartoon_character,0.0,gair-ransac,0.127315,0.107448,0.019868,0.421656,1,3581,29,29
cartoon_character,0.0,gc-ransac,0.071977,0.033886,0.038091,0.257883,1,4379,14,14
cartoon_character,0.0,lo-ransac,0.067722,0.034081,0.033641,0.215704,1,4389,32,32
