algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,374103035,0.05,0.04668980048131145,0.01643079101369141,0.03025900946762004,0.06150958541895217,0.9885714285714285,0.2518753000185825,1,498,0
vanilla,2,149295286,0.05,0.047075395923767624,0.01652600375412477,0.030549392169642853,0.06661664747041157,0.9923809523809524,0.22597119997953996,1,500,0
vanilla,1,1161319563,0.05,0.046907466485569205,0.016358066949783322,0.030549399535785882,0.059800993618156335,0.9847619047619047,0.3045076999696903,1,496,0
vanilla,3,21317764,0.05,0.046189449059265614,0.01605216215354637,0.03013728690571925,0.06613958478061721,0.9885714285714285,0.21990039997035637,1,498,0
vanilla,4,1567129109,0.05,0.04667629397600124,0.016068021849886007,0.03060827212611523,0.061974234074602445,0.9885714285714285,0.2736674000043422,1,498,0
lo-ransac,0,374103035,0.05,0.04707648640778205,0.0165297992012574,0.03054668720652465,0.06399998855167646,0.9904761904761905,0.6382500000181608,1,499,1
lo-ransac,2,149295286,0.05,0.0473210991656384,0.016697273160289742,0.030623826005348655,0.07272170204420698,0.9904761904761905,0.5599013000028208,1,499,1
lo-ransac,3,21317764,0.05,0.047075395923767624,0.01652600375412477,0.030549392169642853,0.06661664747041157,0.9923809523809524,0.5691779999760911,1,500,1
lo-ransac,4,1567129109,0.05,0.047075395923767624,0.01652600375412477,0.030549392169642853,0.06661664747041157,0.9923809523809524,0.5707250999985263,1,500,1
lo-ransac,1,1161319563,0.05,0.04707648640778205,0.0165297992012574,0.03054668720652465,0.06399998855167646,0.9904761904761905,1.0567629999713972,1,499,1
gc-ransac,0,374103035,0.05,0.047075395923767624,0.01652600375412477,0.030549392169642853,0.06661664747041157,0.9923809523809524,1.3277715999865904,1,500,2
gc-ransac,2,149295286,0.05,0.0451752845497477,0.015129797008508323,0.03004548754123938,0.06024032022127746,0.9904761904761905,1.548209200031124,1,500,2
gair-ransac,0,374103035,0.05,0.04730739692303046,0.01673550861283588,0.03057188831019458,0.06578826949382724,0.9942857142857143,2.045159399975091,1,499,4
gc-ransac,4,1567129109,0.05,0.047075395923767624,0.01652600375412477,0.030549392169642853,0.06661664747041157,0.9923809523809524,1.9324699999997392,1,500,2
gc-ransac,1,1161319563,0.05,0.047075395923767624,0.01652600375412477,0.030549392169642853,0.06661664747041157,0.9923809523809524,2.2088606000179425,1,500,2
gc-ransac,3,21317764,0.05,0.047075395923767624,0.01652600375412477,0.030549392169642853,0.06661664747041157,0.9923809523809524,2.093410999979824,1,500,3
gair-ransac,1,1161319563,0.05,0.04696121999407267,0.016516498478930157,0.030444721515142516,0.06604777487110305,0.9961904761904762,2.9292264000396244,1,500,4
gair-ransac,4,1567129109,0.05,0.04696121999407267,0.016516498478930157,0.030444721515142516,0.06604777487110305,0.9961904761904762,2.8675239000003785,1,500,4
gair-ransac,3,21317764,0.05,0.04680119354700728,0.01636616781743389,0.030435025729573392,0.06069419814258397,0.9942857142857143,3.7133867000229657,1,499,6
gair-ransac,2,149295286,0.05,0.04696121999407267,0.016516498478930157,0.030444721515142516,0.06604777487110305,0.9961904761904762,4.33061079995241,1,500,7
