algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,1480929187,0.2,60.0,0.10763920754727047,0.06865180020754234,0.03898740733972812,0.34350660944896505,0.518539976825029,60.354150200029835,1,622,19
gc-ransac,0,1480929187,0.2,60.0,0.10755917011766472,0.06359002649471558,0.04396914362294913,0.326510234053106,0.48088064889918886,60.023407500004396,1,572,9
lo-ransac,0,1480929187,0.2,60.0,0.15547912429000982,0.01615288326398992,0.1393262410260199,0.7264867051885643,0.8609501738122828,60.01312819996383,7,1411,12
vanilla,0,1480929187,0.2,60.0,0.15995884671880678,0.015487888353817654,0.14447095836498913,0.6254378956214963,0.8458864426419467,60.34931730001699,9,1413,0
gair-ransac,1,779425495,0.2,60.0,0.0947774760009682,0.056587263282825144,0.038190212718143046,0.29682740785129375,0.6355735805330244,60.020122599904425,2,828,21
lo-ransac,1,779425495,0.2,60.0,0.1613851512437933,0.0168009015057586,0.1445842497380347,0.6874770576680636,0.8534183082271147,60.297184900031425,7,1396,10
vanilla,1,779425495,0.2,60.0,0.1621870375982699,0.01645471676267608,0.14573232083559384,0.6053529970297487,0.8638470451911935,60.35229750000872,8,1422,0
gair-ransac,2,1840282035,0.2,60.0,0.0972989173036676,0.0527533300557053,0.04454558724796231,0.283784489738294,0.6477404403244496,60.0858533999417,3,855,22
gc-ransac,2,1840282035,0.2,60.0,0.10782620131583127,0.06617115101915018,0.041655050296681095,0.3099834533919993,0.5208574739281576,60.046198799973354,1,644,11
lo-ransac,2,1840282035,0.2,60.0,0.1523674202789884,0.017776112635560285,0.1345913076434281,0.6274013056988282,0.8574739281575898,60.26070189999882,6,1383,13
vanilla,2,1840282035,0.2,60.0,0.1491885525630577,0.01564848023445339,0.13354007232860432,0.794221000539189,0.8516801853997682,60.33415110001806,9,1415,0
gair-ransac,3,737807616,0.2,60.0,0.08761067158072154,0.050066614047534555,0.037544057533186986,0.2789475677851549,0.6784472769409038,60.07169460004661,2,903,19
gc-ransac,3,737807616,0.2,60.0,0.10535147631073555,0.07087165641879029,0.034479819891945256,0.27286207951314817,0.4918887601390498,60.220138400094584,1,583,9
lo-ransac,3,737807616,0.2,60.0,0.13701105477081538,0.01638716564149204,0.12062388912932334,0.5986958012951022,0.8499420625724218,60.20957880001515,7,1383,11
vanilla,3,737807616,0.2,60.0,0.13235479089145258,0.016076734479487795,0.11627805641196477,0.5333514751730222,0.8482039397450754,60.040891500073485,8,1390,0
gair-ransac,4,116107468,0.2,60.0,0.11381310024579486,0.06541301329439334,0.04840008695140153,0.28984874654002935,0.5127462340672074,60.03739299997687,1,612,16
gc-ransac,4,116107468,0.2,60.0,0.11270163029964914,0.06131597904701464,0.05138565125263449,0.27669474233463964,0.4831981460023175,60.085635800031014,1,587,10
lo-ransac,4,116107468,0.2,60.0,0.1437785274102795,0.016699571709141717,0.12707895570113778,0.575105628315553,0.8557358053302433,60.160753799951635,6,1383,10
vanilla,4,116107468,0.2,60.0,0.15695764434763795,0.016195629589280277,0.14076201475835767,0.6060285855911092,0.8476245654692932,60.305850700009614,9,1404,0
