algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,1365990088,0.1,60.0,0.09881520276349609,0.06947980335379018,0.0293353994097059,0.4070355872136226,0.45022727272727275,60.070780999958515,3,3183,25
gc-ransac,0,1365990088,0.1,60.0,0.10046096171287766,0.05182476832962862,0.04863619338324904,0.30189573696498645,0.4821590909090909,60.22256299993023,1,3529,13
lo-ransac,0,1365990088,0.1,60.0,0.13182754368985125,0.016340971579349942,0.1154865721105013,0.6140458214936254,0.9170454545454545,60.024134399951436,7,7735,12
vanilla,0,1365990088,0.1,60.0,0.12974358403038716,0.01477997991691932,0.11496360411346783,0.6384157709574363,0.9194318181818182,60.137581999995746,9,7809,0
gair-ransac,1,248207700,0.1,60.0,0.11182058962758794,0.0890864210435952,0.022734168583992742,0.4101767223159658,0.3881818181818182,60.262705000001006,3,2638,19
gc-ransac,1,248207700,0.1,60.0,0.09539924307348648,0.052569952191052836,0.04282929088243364,0.30593111322648237,0.4823863636363636,60.07915120001417,1,3527,13
lo-ransac,1,248207700,0.1,60.0,0.14721677274091333,0.017310516923569587,0.12990625581734375,0.6588680172118745,0.9032954545454546,60.35337090003304,7,7599,11
vanilla,1,248207700,0.1,60.0,0.14192670352429243,0.015405504218909377,0.12652119930538305,0.546101573132618,0.9171590909090909,60.30927480000537,9,7819,0
gair-ransac,2,624573896,0.1,60.0,0.09843799923227683,0.07015090771357094,0.02828709151870589,0.40610514144264726,0.44829545454545455,60.0640877999831,3,3165,18
gc-ransac,2,624573896,0.1,60.0,0.1109165485033306,0.04038267358569623,0.07053387491763437,0.3266614382448915,0.6139772727272728,60.35903659998439,2,4764,12
lo-ransac,2,624573896,0.1,60.0,0.13497726703341517,0.01725652056616383,0.11772074646725135,0.5458467798441738,0.9027272727272727,60.25176360004116,7,7606,12
vanilla,2,624573896,0.1,60.0,0.14413128226927135,0.015307849352237021,0.12882343291703433,0.6113396326736334,0.9242045454545454,60.36382530000992,10,7863,0
gair-ransac,3,1180128004,0.1,60.0,0.09784372139663089,0.06792276938454202,0.029920952012088872,0.4033160052752292,0.4495454545454545,60.33968630002346,3,3177,16
gc-ransac,3,1180128004,0.1,60.0,0.08679485172072895,0.03988702389318337,0.04690782782754559,0.318781224164161,0.6295454545454545,60.11382879992016,2,4854,13
lo-ransac,3,1180128004,0.1,60.0,0.11117305472271095,0.015092172679519187,0.09608088204319176,0.4874749814938915,0.9205681818181818,60.09473650006112,6,7647,10
vanilla,3,1180128004,0.1,60.0,0.16015190947332145,0.015743894431674642,0.1444080150416468,0.6924324042442233,0.9198863636363637,60.27189279999584,9,7821,0
gair-ransac,4,70524802,0.1,60.0,0.0710549141909615,0.03891793164027518,0.03213698255068631,0.32985018876957134,0.5139772727272728,60.239071500021964,3,3771,19
gc-ransac,4,70524802,0.1,60.0,0.08765353202114658,0.04045973914510765,0.04719379287603893,0.3045121230954866,0.6301136363636364,60.111266100080684,2,4863,12
lo-ransac,4,70524802,0.1,60.0,0.12208949790085359,0.01564445110288498,0.10644504679796861,0.5015969276157316,0.9272727272727272,60.01780809997581,7,7810,12
vanilla,4,70524802,0.1,60.0,0.1379952254450492,0.015317020991126168,0.12267820445392302,0.6573515794875293,0.9167045454545455,60.240360499941744,9,7807,0
