algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,657460756,0.4,60.0,0.3534992339088595,0.3268084840544976,0.026690749854361952,0.8423834523334518,0.5021978021978022,60.35455369995907,1,200,21
lo-ransac,0,657460756,0.4,60.0,0.13380770154788263,0.017522168683912494,0.11628553286397014,0.530223495460629,0.7505494505494505,60.299742299946956,7,627,12
vanilla,0,657460756,0.4,60.0,0.15811024505167615,0.01649036999085887,0.14161987506081727,0.8879126105858722,0.7296703296703296,60.15015510004014,9,621,0
lo-ransac,1,1943913580,0.4,60.0,0.16067981379833318,0.01768550703156434,0.14299430676676883,0.8778035809640138,0.7615384615384615,60.19893409998622,7,636,8
vanilla,1,1943913580,0.4,60.0,0.13613598853968084,0.01493134530113865,0.12120464323854219,0.5848440132510292,0.7450549450549451,60.34756500006188,8,631,0
gair-ransac,2,8213842,0.4,60.0,0.3591135437604707,0.3329907938249689,0.02612274993550182,0.8388838163824378,0.4989010989010989,60.060740099987015,1,200,27
lo-ransac,2,8213842,0.4,60.0,0.14339468346455556,0.018325729905183906,0.12506895355937164,0.556797127516216,0.7241758241758242,60.2281612000661,7,607,11
vanilla,2,8213842,0.4,60.0,0.13759369935618662,0.01690592544447139,0.12068777391171524,0.5966695807645228,0.743956043956044,60.21339970000554,9,626,0
gair-ransac,3,2098269281,0.4,60.0,0.3580550058528934,0.332432448959623,0.025622556893270438,0.8456760112282119,0.5087912087912088,60.38088399998378,1,207,19
lo-ransac,3,2098269281,0.4,60.0,0.1379800245886877,0.019211825924555153,0.11876819866413253,0.5710238725094481,0.7395604395604396,60.12097519997042,7,605,11
vanilla,3,2098269281,0.4,60.0,0.15039905435903198,0.016766385910992092,0.1336326684480399,0.7962096306210502,0.7725274725274726,60.13635050004814,8,633,0
gair-ransac,4,1980593794,0.4,60.0,0.35478205860449885,0.330246196630741,0.02453586197375783,0.8401203967136951,0.5043956043956044,60.244174000108615,1,204,21
lo-ransac,4,1980593794,0.4,60.0,0.13002845063467539,0.020308328776737727,0.10972012185793767,0.46158058690829895,0.7428571428571429,60.120666500064544,6,601,11
vanilla,4,1980593794,0.4,60.0,0.14578369658394327,0.017816602421571532,0.12796709416237173,0.6057415041345179,0.7395604395604396,60.59837720007636,8,626,0
