algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,895360474,0.0,60.0,0.25341677850242855,0.22458068987238552,0.02883608863004304,0.9300728887952113,0.6308724832214765,60.343348899972625,1,846,12
gc-ransac,0,895360474,0.0,60.0,0.11540001573028796,0.09010170183269915,0.02529831389758881,0.9151812286646978,0.7874720357941835,60.17293819994666,2,1056,14
lo-ransac,0,895360474,0.0,60.0,0.18891746371730553,0.01673226740510165,0.1721851963122039,0.7708200094227295,0.9873228933631618,60.121592200011946,5,1324,11
vanilla,0,895360474,0.0,60.0,0.1874473567628164,0.01455595076599262,0.1728914059968238,0.5765913374126804,0.9910514541387024,60.1815642999718,9,1329,0
gair-ransac,1,423841986,0.0,60.0,0.2529876192293758,0.22541442289565686,0.027573196333718925,0.930173513769477,0.6249067859806114,60.0300728000002,1,838,12
gc-ransac,1,423841986,0.0,60.0,0.12239973302554374,0.08986676190015269,0.032532971125391046,0.9145987462617684,0.796420581655481,60.04481150000356,2,1068,12
lo-ransac,1,423841986,0.0,60.0,0.1641676528264453,0.017390151257398134,0.14677750156904718,0.49750627978683915,0.9671886651752424,60.04690479999408,4,1297,9
vanilla,1,423841986,0.0,60.0,0.18361025160973096,0.01701018329747483,0.16660006831225613,0.6406488717886903,0.9910514541387024,60.128482899977826,8,1329,0
gair-ransac,2,1234759315,0.0,60.0,0.2548985121007883,0.2268340795800813,0.02806443252070699,0.932336631871106,0.6323639075316928,60.29852569999639,1,848,11
gc-ransac,2,1234759315,0.0,60.0,0.2525275730410454,0.22582665327649692,0.02670091976454846,0.9307296282048017,0.6263982102908278,60.01027079997584,1,840,13
lo-ransac,2,1234759315,0.0,60.0,0.13244477069415814,0.011256446576224618,0.12118832411793351,0.48200708690444627,0.9821029082774049,60.06070350005757,5,1317,8
vanilla,2,1234759315,0.0,60.0,0.2061778788909776,0.016463816533263856,0.18971406235771374,0.8350876665370515,0.9888143176733781,60.09721819998231,8,1326,0
gair-ransac,3,1996581994,0.0,60.0,0.2538187998333859,0.22548886293335033,0.02832993690003557,0.9281438683626246,0.6331096196868009,60.20308860007208,1,849,12
gc-ransac,3,1996581994,0.0,60.0,0.11693519919032574,0.09043868738754653,0.02649651180277921,0.9144456366179385,0.7882177479492916,60.038654900039546,2,1057,14
lo-ransac,3,1996581994,0.0,60.0,0.18440254091899472,0.016063034592683822,0.1683395063263109,0.5641275961597622,0.9843400447427293,60.160682299989276,6,1320,10
vanilla,3,1996581994,0.0,60.0,0.19419460806501646,0.018017743391910795,0.17617686467310567,0.6681638568694317,0.9903057419835943,60.03111490001902,7,1328,0
gair-ransac,4,228686992,0.0,60.0,0.252284182684861,0.224317462481809,0.027966720203052,0.9272750785596123,0.627889634601044,60.25735289999284,1,842,11
gc-ransac,4,228686992,0.0,60.0,0.11862196484396156,0.09078232166049975,0.02783964318346181,0.9182423222289484,0.790454884414616,60.11851370008662,2,1060,15
lo-ransac,4,228686992,0.0,60.0,0.1807246425230306,0.01754869834694627,0.16317594417608433,0.6586307093371723,0.9694258016405667,60.240154700004496,5,1300,9
vanilla,4,228686992,0.0,60.0,0.20332951694556461,0.016475588553146472,0.18685392839241813,0.8025430723942507,0.9903057419835943,60.070195400039665,8,1328,0
