algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,2028074535,0.2,60.0,0.06980996635859847,0.02731281658070198,0.042497149777896495,0.21499708578359525,0.7484375,60.32445740001276,2,5694,20
gc-ransac,0,2028074535,0.2,60.0,0.10526249000286017,0.05668312659580392,0.04857936340705626,0.23171388384535532,0.5572916666666666,60.09469020005781,2,4182,11
lo-ransac,0,2028074535,0.2,60.0,0.09613954933722085,0.016505284918195962,0.0796342644190249,0.4917090788769187,0.8758333333333334,60.29364359995816,7,7798,9
vanilla,0,2028074535,0.2,60.0,0.09470975613342941,0.016349504253963452,0.07836025187946596,0.44938333620910337,0.8582291666666667,60.338896699948236,9,7775,0
gair-ransac,1,693217548,0.2,60.0,0.17627399699126536,0.13760343390247362,0.03867056308879175,0.380661976179745,0.46208333333333335,60.075554299983196,1,2891,18
gc-ransac,1,693217548,0.2,60.0,0.08076465109258996,0.03163725272059822,0.04912739837199174,0.2887352110051743,0.6902083333333333,60.19671189994551,3,5532,8
lo-ransac,1,693217548,0.2,60.0,0.09180199844385839,0.01602402436114866,0.07577797408270973,0.5473900219171801,0.8716666666666667,60.29644780000672,7,7745,10
vanilla,1,693217548,0.2,60.0,0.10457046776443758,0.014946896111287796,0.08962357165314978,0.5577731194875549,0.8682291666666667,60.031675299978815,10,7941,0
gair-ransac,2,1412065182,0.2,60.0,0.06074418227749204,0.025602660674015256,0.03514152160347678,0.2121477199574547,0.7557291666666667,60.32293350005057,2,5771,14
gc-ransac,2,1412065182,0.2,60.0,0.0981151892108551,0.051231705200046426,0.04688348401080867,0.22489367924129097,0.5607291666666666,60.09361620002892,2,4199,10
lo-ransac,2,1412065182,0.2,60.0,0.09394184169255265,0.01676018535166513,0.07718165634088753,0.4577333376452549,0.8688541666666667,60.08817879995331,7,7694,11
vanilla,2,1412065182,0.2,60.0,0.10320277671694977,0.01630203326498949,0.08690074345196028,0.418304480722205,0.8592708333333333,60.03214459994342,10,7797,0
gair-ransac,3,1468750307,0.2,60.0,0.06617943130585313,0.026483039652158886,0.03969639165369425,0.21641372321509889,0.7639583333333333,60.03501670004334,2,5846,20
gc-ransac,3,1468750307,0.2,60.0,0.09586542706566215,0.02981069941256469,0.06605472765309746,0.35131756535351183,0.7085416666666666,60.359395399922505,3,5732,10
lo-ransac,3,1468750307,0.2,60.0,0.10458362534729226,0.01658524914683156,0.0879983762004607,0.5124360846131094,0.894375,60.357576000038534,6,7852,10
vanilla,3,1468750307,0.2,60.0,0.10795984872650911,0.016797575361485104,0.09116227336502401,0.6210430049939453,0.8571875,60.01742709998507,10,7821,0
gair-ransac,4,1253669708,0.2,60.0,0.0688320796046954,0.027091803013119677,0.041740276591575726,0.2198586423719902,0.7671875,60.308394200052135,2,5871,20
gc-ransac,4,1253669708,0.2,60.0,0.11282319078941616,0.0685762803798877,0.04424691040952847,0.252848625372867,0.46020833333333333,60.336103299981914,1,3087,11
lo-ransac,4,1253669708,0.2,60.0,0.09338947839890575,0.016457847470546922,0.07693163092835884,0.3935492914251345,0.8871875,60.016438200022094,6,7840,10
vanilla,4,1253669708,0.2,60.0,0.09403830783620037,0.015679900488121644,0.07835840734807874,0.3540309019680888,0.8611458333333334,60.2400023000082,10,7874,0
