algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
lo-ransac,0,898752222,0.1,60.0,0.09621069020022732,0.019981275605255953,0.07622941459497137,0.23167795890279388,0.9234135667396062,60.28546089993324,3,404,12
vanilla,0,898752222,0.1,60.0,0.10346745194997684,0.017650187839722407,0.08581726411025442,0.46222054920813604,0.899343544857768,60.008700100006536,6,403,0
lo-ransac,1,756965441,0.1,60.0,0.08768179606532951,0.018795575754212614,0.0688862203111169,0.2174606236470109,0.9343544857768052,60.194103700108826,3,405,14
vanilla,1,756965441,0.1,60.0,0.11035014677390878,0.014639764674431066,0.09571038209947771,0.5771808196869533,0.9168490153172867,57.90244400000665,10,415,0
lo-ransac,2,1347287830,0.1,60.0,0.09577766200300086,0.01621332387316077,0.0795643381298401,0.2851388087366973,0.9190371991247265,60.129568099975586,5,411,19
vanilla,2,1347287830,0.1,60.0,0.10484796832949611,0.014859743882060485,0.08998822444743562,0.47771155825944245,0.9168490153172867,60.09919690003153,9,413,0
lo-ransac,3,1512194228,0.1,60.0,0.10230581425627674,0.01579977904388743,0.08650603521238931,0.31739742353781425,0.9146608315098468,60.05243949999567,7,413,17
vanilla,3,1512194228,0.1,60.0,0.10179601724956767,0.015333302992182067,0.08646271425738561,0.3484471155371131,0.912472647702407,60.02049500006251,8,412,0
lo-ransac,4,1897790946,0.1,60.0,0.0820697864271993,0.018576782250752624,0.06349300417644667,0.211919838453863,0.9234135667396062,60.32824340008665,3,402,12
vanilla,4,1897790946,0.1,60.0,0.09424632234548333,0.015176789112181347,0.07906953323330199,0.3174361350249802,0.9212253829321663,60.324656599899754,6,411,0
