algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,1683147956,0.1,60.0,0.056415480064879946,0.02498321834251746,0.031432261722362485,0.5634618954453349,0.9276136363636364,60.027088599978015,3,7423,20
gc-ransac,0,1683147956,0.1,60.0,0.06931215804929991,0.058175460579911444,0.011136697469388461,0.5677412666050067,0.8747727272727273,60.07089410000481,1,6993,9
lo-ransac,0,1683147956,0.1,60.0,0.11223658638458826,0.014994802360749585,0.09724178402383868,0.44150082378877176,0.9282954545454546,60.115334299975075,6,7917,11
vanilla,0,1683147956,0.1,60.0,0.13383235824367734,0.01461068803849185,0.1192216702051855,0.568096968441848,0.9197727272727273,60.04136919998564,9,7965,0
gair-ransac,1,2039251708,0.1,60.0,0.06303517158449765,0.04679347138011104,0.01624170020438661,0.5692976401374156,0.89125,60.377392199938186,2,7089,16
gc-ransac,1,2039251708,0.1,60.0,0.07077559532300673,0.058487995620710796,0.012287599702295931,0.5669257903790862,0.875,60.222613600082695,1,6995,10
lo-ransac,1,2039251708,0.1,60.0,0.11471208796462813,0.01459701877631539,0.10011506918831274,0.5019277468159035,0.9265909090909091,60.149006100022234,6,7902,8
vanilla,1,2039251708,0.1,60.0,0.11144694103681205,0.013294268351028104,0.09815267268578394,0.6004359772190315,0.9217045454545455,60.18110330007039,9,7974,0
gair-ransac,2,1855706294,0.1,60.0,0.07105429433909408,0.05916807942472208,0.011886214914371997,0.570726106090502,0.8601136363636364,60.16737759998068,1,6811,19
gc-ransac,2,1855706294,0.1,60.0,0.06952395235218779,0.058421561732690794,0.011102390619497004,0.5696230796739503,0.8734090909090909,60.35633209999651,1,6984,10
lo-ransac,2,1855706294,0.1,60.0,0.11808554120149592,0.015609671471586982,0.10247586972990894,0.4560907709188058,0.9301136363636363,60.212954799993895,6,7913,13
vanilla,2,1855706294,0.1,60.0,0.12171142710091029,0.014447647214814627,0.10726377988609566,0.7263870528366673,0.9198863636363637,60.05230840004515,9,7974,0
gair-ransac,3,1641396314,0.1,60.0,0.053443557168436864,0.035728356026094414,0.01771520114234245,0.5609228004230472,0.92,60.043093899963424,3,7342,21
gc-ransac,3,1641396314,0.1,60.0,0.07236118000829558,0.059496588685252434,0.012864591323043146,0.5712560172494324,0.875,60.1028626000043,1,6992,12
lo-ransac,3,1641396314,0.1,60.0,0.11670560212798038,0.01515056873464866,0.10155503339333172,0.5656645076821891,0.9235227272727272,60.199393399991095,6,7887,9
vanilla,3,1641396314,0.1,60.0,0.13499438283451728,0.014037591878546161,0.12095679095597112,0.607149166564549,0.9179545454545455,60.30926290003117,10,7972,0
gair-ransac,4,457126910,0.1,60.0,0.04182195044351629,0.023289489143678944,0.018532461299837346,0.560941130606849,0.9522727272727273,60.12374010006897,4,7637,22
gc-ransac,4,457126910,0.1,60.0,0.06963781453650275,0.058650242460005934,0.010987572076496812,0.5707579049058168,0.8732954545454545,60.19308239989914,1,6983,9
lo-ransac,4,457126910,0.1,60.0,0.1028628996868825,0.014550967854465713,0.08831193183241678,0.443642981588864,0.9356818181818182,60.114739699987695,5,7868,8
vanilla,4,457126910,0.1,60.0,0.1252213718446486,0.013766995439174794,0.1114543764054738,0.5718534900472818,0.92,60.26022269995883,9,7961,0
