algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,329867922,0.3,60.0,0.04222911161695915,0.014986273640174196,0.027242837976784954,0.06659858603595398,0.9738461538461538,60.09883869998157,1,493,21
gc-ransac,0,329867922,0.3,60.0,0.0420582312480516,0.014661413680759345,0.027396817567292255,0.0712909432872885,0.9584615384615385,60.05320439999923,1,491,10
lo-ransac,0,329867922,0.3,60.0,0.1375720011035699,0.014530471670536093,0.12304152943303381,0.38478653068247404,0.8584615384615385,60.012954699923284,4,499,8
vanilla,0,329867922,0.3,60.0,0.1554504885850367,0.014484278022958003,0.1409662105620787,0.5470599503280144,0.8353846153846154,60.230813700007275,5,496,0
gair-ransac,1,1425979913,0.3,60.0,0.041721509708281035,0.014786107966287319,0.026935401741993714,0.06692666845293316,0.9753846153846154,60.261331900022924,1,494,18
gc-ransac,1,1425979913,0.3,60.0,0.04248861246180646,0.014984926730125728,0.027503685731680737,0.06254385039029972,0.96,60.3695867001079,1,493,11
lo-ransac,1,1425979913,0.3,60.0,0.1470557930004302,0.01398060742884639,0.13307518557158382,0.4330369141448065,0.823076923076923,60.23589649994392,5,498,8
vanilla,1,1425979913,0.3,60.0,0.15823507940322196,0.013941016992604303,0.14429406241061765,0.5597709583027608,0.8276923076923077,60.19012030004524,5,496,0
gair-ransac,2,967638479,0.3,60.0,0.042137023171820234,0.014823954982237427,0.02731306818958281,0.06610286686775622,0.9784615384615385,60.02198840002529,1,495,20
gc-ransac,2,967638479,0.3,60.0,0.04234244877346114,0.015207641847580621,0.02713480692588052,0.06848236456611614,0.9538461538461539,60.065616599982604,1,490,10
lo-ransac,2,967638479,0.3,60.0,0.1582900758324688,0.014383217699721763,0.14390685813274703,0.630067376592537,0.8661538461538462,60.15582290000748,3,499,9
vanilla,2,967638479,0.3,60.0,0.18743797855745936,0.01398345415101228,0.17345452440644707,0.6588497514855596,0.816923076923077,60.04664750001393,5,492,0
gair-ransac,3,652785935,0.3,60.0,0.042708331737304366,0.01521224956590303,0.027496082171401336,0.06387829262679796,0.9830769230769231,60.0569405000424,1,498,16
gc-ransac,3,652785935,0.3,60.0,0.04206788108976137,0.015119077578439331,0.02694880351132204,0.07218579459527567,0.9476923076923077,60.382539800019,1,486,10
lo-ransac,3,652785935,0.3,60.0,0.14584468006155596,0.014273892831934136,0.13157078722962182,0.43727957564832387,0.84,60.07687329989858,4,496,8
vanilla,3,652785935,0.3,60.0,0.17298509498974687,0.014304062103977706,0.15868103288576918,0.5554257688067972,0.8276923076923077,60.01698989991564,5,498,0
gair-ransac,4,1535018046,0.3,60.0,0.04263964250312431,0.015293510672427782,0.027346131830696528,0.06322062013736818,0.98,60.2012949999189,1,496,15
gc-ransac,4,1535018046,0.3,60.0,0.04208719603968082,0.014780956398304046,0.027306239641376774,0.06516570066433629,0.9676923076923077,60.073227799963206,1,497,10
lo-ransac,4,1535018046,0.3,60.0,0.1456454505559169,0.014019418143511092,0.1316260324124058,0.5837410321929959,0.8076923076923077,60.284688999992795,6,496,8
vanilla,4,1535018046,0.3,60.0,0.15061789182982757,0.014167086342212282,0.1364508054876153,0.5213819568709936,0.8430769230769231,60.1255797999911,5,493,0
