algo,noise_std,n_outliers,trial,chamfer,hausdorff,accuracy,runtime_s
gair-ransac,0.1,0,0,0.2830171244431319,0.6104941022039365,0.9692583333333333,84.58360505104065
gair-ransac,0.1,0,1,0.2638232772242549,0.5534631425038381,0.9706583333333333,43.54616904258728
gair-ransac,0.1,0,2,0.29676707168082106,0.5442626022621687,0.9681333333333333,46.11520314216614
gair-ransac,0.1,0,3,0.28854655211394253,0.6337156966529054,0.9693166666666667,55.50925254821777
gair-ransac,0.1,0,4,0.30628623459334325,0.5741254406899304,0.968625,73.8254280090332
gair-ransac,0.1,1000,0,0.2772866312093523,0.6666954940504257,0.9680661157024794,47.67322278022766
gair-ransac,0.1,1000,1,0.2924114288761737,0.5426412753250741,0.96700826446281,48.97807860374451
gair-ransac,0.1,1000,2,0.286177870829884,0.5466484348346669,0.9696528925619835,47.65616250038147
gair-ransac,0.1,1000,3,0.27209962979097585,0.5566337559902943,0.969099173553719,50.79332876205444
gair-ransac,0.1,1000,4,0.2959611085027005,0.5723485056705954,0.969694214876033,42.166274070739746
gair-ransac,0.1,2000,0,0.2809247288394253,0.5008764587412681,0.9659180327868853,43.075435161590576
gair-ransac,0.1,2000,1,0.2669617627733429,0.5369978831649953,0.9669590163934426,43.98296856880188
gair-ransac,0.1,2000,2,0.2920061768223062,0.537197446586813,0.9687377049180328,53.9951605796814
gair-ransac,0.1,2000,3,0.2926135723720208,0.5886332359408336,0.9691885245901639,43.56878924369812
gair-ransac,0.1,2000,4,0.28106125589470304,0.9559662406433571,0.9655491803278689,61.352989196777344
gair-ransac,0.1,3000,0,0.29352391596097255,0.5707969028141895,0.9670975609756097,52.586853981018066
gair-ransac,0.1,3000,1,0.27754428188836755,0.5722242792741704,0.971609756097561,51.14489698410034
gair-ransac,0.1,3000,2,0.2634615813714283,0.5420625944074039,0.97,50.107645988464355
gair-ransac,0.1,3000,3,0.29221058239578734,0.8085787587856867,0.9663658536585366,46.1636483669281
gair-ransac,0.1,3000,4,0.29580542864822146,0.5160558188752088,0.9687642276422764,56.85741829872131
gair-ransac,0.1,4000,0,0.26908374984497374,0.5527617312028125,0.97075,46.2502658367157
gair-ransac,0.1,4000,1,0.26774791136790554,0.549586104447055,0.9712580645161291,45.16432499885559
gair-ransac,0.1,4000,2,0.2742047991180639,0.8232595065348444,0.9690241935483871,52.043678760528564
gair-ransac,0.1,4000,3,0.27608959828591395,0.5219621887808379,0.9703790322580645,48.73167324066162
gair-ransac,0.1,4000,4,0.2686841698513591,0.49269005174112146,0.9704596774193548,48.08999490737915
gair-ransac,0.15,0,0,0.262589152707674,0.9348742019229895,0.9450166666666666,45.55644869804382
gair-ransac,0.15,0,1,0.2569915562892169,0.5885569149222365,0.9516,47.59369969367981
gair-ransac,0.15,0,2,0.2585389816024507,0.5335206755914685,0.9508333333333333,52.508145809173584
gair-ransac,0.15,0,3,0.2705691909080477,1.0679013493402896,0.9484333333333334,40.43935227394104
gair-ransac,0.15,0,4,0.2576038902365631,0.6007093207086244,0.948275,52.28709650039673
gair-ransac,0.15,1000,0,0.2673097287863787,0.6665487627448492,0.9501239669421487,52.18354082107544
gair-ransac,0.15,1000,1,0.26049106375263786,0.5477790918891906,0.949603305785124,46.43354797363281
gair-ransac,0.15,1000,2,0.2553365961459222,0.7418252187364317,0.9509917355371901,40.84850263595581
gair-ransac,0.15,1000,3,0.24590285427838326,0.570114715781739,0.9516280991735537,47.742668867111206
gair-ransac,0.15,1000,4,0.27236685795901194,0.6771772329162656,0.948504132231405,38.63628649711609
gair-ransac,0.15,2000,0,0.25689600434685933,0.5313650356587909,0.9519344262295082,44.704312801361084
gair-ransac,0.15,2000,1,0.25894577831138565,1.5817908013564639,0.946860655737705,43.37256097793579
gair-ransac,0.15,2000,2,0.276049992629103,0.5250339599417564,0.9491475409836065,50.06477928161621
gair-ransac,0.15,2000,3,0.2574460930679492,0.6415549913521218,0.9499016393442623,59.91973519325256
gair-ransac,0.15,2000,4,0.2488160608300782,0.5296512340988865,0.9505409836065574,43.98664927482605
