algo,noise_std,n_outliers,trial,chamfer,hausdorff,accuracy,runtime_s
gair-ransac,0.0,0,0,0.23920061301605228,0.5325062333637917,1.0,36.33982014656067
gair-ransac,0.0,0,1,0.23293902724102125,0.5102412469384926,1.0,34.20888018608093
gair-ransac,0.0,0,2,0.2361347410637624,0.9037845326296012,0.9998666666666667,38.07635998725891
gair-ransac,0.0,0,3,0.23536951811551843,0.6769181844065263,1.0,36.203171491622925
gair-ransac,0.0,0,4,0.23344966398321443,0.5416056585774234,0.9999333333333333,36.93569302558899
gair-ransac,0.0,2000,0,0.27595727868460695,0.9041682748501891,0.9999262295081968,42.75337529182434
gair-ransac,0.0,2000,1,0.26850089867036464,0.7282389648465919,0.9998852459016393,34.81005835533142
gair-ransac,0.0,2000,2,0.30400266477991916,0.5182209837629507,0.9999180327868853,40.76462483406067
gair-ransac,0.0,2000,3,0.2676010764226794,0.7194098782623671,0.9999098360655738,44.35781288146973
gair-ransac,0.0,2000,4,0.3244679034812381,0.6366936623562757,0.9999180327868853,42.947330474853516
gair-ransac,0.0,4000,0,0.2663863946826882,0.47747954280019733,0.9998225806451613,39.56992053985596
gair-ransac,0.0,4000,1,0.2682371291410321,0.7195240282178677,0.9997983870967742,45.105589389801025
gair-ransac,0.0,4000,2,0.29595275914598296,0.6366024177912436,0.9998629032258064,41.38545298576355
gair-ransac,0.0,4000,3,0.3179734833485116,0.5033304493264529,0.9998709677419355,43.757126569747925
gair-ransac,0.0,4000,4,0.3075122093977811,0.598061450725047,0.9998387096774194,37.92132782936096
gair-ransac,0.0,6000,0,0.2888635640232118,0.6361687566449493,0.9996904761904762,49.09029006958008
gair-ransac,0.0,6000,1,0.3086814845365238,0.4741856296327524,0.9997380952380952,43.31126403808594
gair-ransac,0.0,6000,2,0.2975443159288028,0.5984232542934058,0.9998492063492064,47.47382879257202
gair-ransac,0.0,6000,3,0.27257220790076375,0.6351810464233428,0.9996746031746032,40.62916302680969
gair-ransac,0.0,6000,4,0.27094983678991713,0.5594186100226486,0.9997380952380952,43.75564384460449
gair-ransac,0.0,8000,0,0.32219128790618545,0.5629832627873046,0.9996015625,44.016993045806885
gair-ransac,0.0,8000,1,0.27498050190040946,0.5590517793233173,0.9995625,47.267321825027466
gair-ransac,0.0,8000,2,0.2908570521549956,0.5167970535236761,0.999609375,44.6445837020874
gair-ransac,0.0,8000,3,0.30115274746134857,0.522377951856597,0.999734375,44.91390085220337
gair-ransac,0.0,8000,4,0.23850207915569405,0.8435253950927621,0.999640625,38.551955699920654
gair-ransac,0.1,0,0,0.23548675092448884,0.5252484047403263,0.9612333333333334,38.928617000579834
gair-ransac,0.1,0,1,0.23770892050818726,0.577538625985428,0.9633,41.431485414505005
gair-ransac,0.1,0,2,0.23620068116136017,0.4850870141394435,0.961925,36.08681583404541
gair-ransac,0.1,0,3,0.23170651667952996,0.6226627422629696,0.962125,38.09273624420166
gair-ransac,0.1,0,4,0.23058062610125665,0.5074331540978256,0.9618916666666667,40.82182836532593
gair-ransac,0.1,2000,0,0.23314418268546633,0.571626988646493,0.9620983606557377,42.534396171569824
gair-ransac,0.1,2000,1,0.24202742762648544,0.5618142055466515,0.9636229508196721,45.58112549781799
gair-ransac,0.1,2000,2,0.262121042902571,0.5335347439713668,0.963983606557377,47.81338572502136
gair-ransac,0.1,2000,3,0.23609958063290454,0.6314515743319223,0.9620409836065574,40.59635305404663
gair-ransac,0.1,2000,4,0.23165270950862704,0.8386218033298539,0.9615491803278688,42.92098617553711
gair-ransac,0.1,4000,0,0.24936824202346852,0.5763290386181713,0.9631935483870968,42.88090658187866
gair-ransac,0.1,4000,1,0.2621568620481919,0.5039779046263813,0.9636370967741935,46.13479232788086
gair-ransac,0.1,4000,2,0.25551757309204803,0.8879790117754929,0.9634032258064517,41.53157615661621
gair-ransac,0.1,4000,3,0.24127351168742,0.5064569113444352,0.9631774193548387,44.32446599006653
gair-ransac,0.1,4000,4,0.22298926391673377,0.4852724993562267,0.9629435483870967,38.24533462524414
gair-ransac,0.1,6000,0,0.23589037185226136,0.8244184162834928,0.9638968253968254,37.30833959579468
gair-ransac,0.1,6000,1,0.24562497756976445,0.5722049214900864,0.9639682539682539,43.269164085388184
gair-ransac,0.1,6000,2,0.25928530614562856,0.5601216856016666,0.9624365079365079,43.06277108192444
gair-ransac,0.1,6000,3,0.2527886762455227,0.645349776670111,0.962468253968254,40.526606798172
gair-ransac,0.1,6000,4,0.24377841531376643,0.6189856148199044,0.9643968253968254,37.18289518356323
gair-ransac,0.1,8000,0,0.24603601399990527,0.5245264805058775,0.9634765625,49.96680688858032
gair-ransac,0.1,8000,1,0.25456405905522606,0.5353168713061535,0.9636875,47.757673025131226
gair-ransac,0.1,8000,2,0.24299313469119946,0.7572659660826201,0.9649609375,49.59338331222534
gair-ransac,0.1,8000,3,0.2574378716345377,0.6264077439734522,0.9637890625,45.88402342796326
gair-ransac,0.1,8000,4,0.24984213976311487,0.5543164212239217,0.9633203125,50.40107202529907
gair-ransac,0.2,0,0,0.23776289158678793,0.7785214011169326,0.9111583333333333,54.39434838294983
gair-ransac,0.2,0,1,0.24688002469312015,1.015068218129743,0.9104333333333333,54.76525378227234
gair-ransac,0.2,0,2,0.24350636775203255,0.7161868018661534,0.9114333333333333,50.193533182144165
gair-ransac,0.2,0,3,0.24643095051291056,0.6285069145217765,0.909875,49.22988414764404
gair-ransac,0.2,0,4,0.2390430113860671,1.128092318735157,0.910675,52.83388090133667
gair-ransac,0.2,2000,0,0.24882306441377472,0.6741840815541202,0.9103442622950819,54.76704454421997
gair-ransac,0.2,2000,1,0.24922694012583102,0.7839204312083264,0.9115573770491803,55.48288130760193
gair-ransac,0.2,2000,2,0.2466905740644267,0.7007514755215868,0.909655737704918,51.08189797401428
gair-ransac,0.2,2000,3,0.24675302257651058,0.5938009332042514,0.9112622950819672,54.99574851989746
gair-ransac,0.2,2000,4,0.24725706918705997,0.8875044437512013,0.9103442622950819,45.9867308139801
gair-ransac,0.2,4000,0,0.2414616084736263,0.9724923097130682,0.9137016129032258,53.859476804733276
gair-ransac,0.2,4000,1,0.24797476430655901,0.7304128497273297,0.9138548387096774,55.52163314819336
gair-ransac,0.2,4000,2,0.2445751447323376,0.637972692170553,0.9119516129032258,55.92666411399841
gair-ransac,0.2,4000,3,0.24765126963713863,1.018610262431184,0.9119354838709678,60.50666069984436
gair-ransac,0.2,4000,4,0.24185360468911699,0.9478864385453164,0.9129354838709678,51.931498527526855
gair-ransac,0.2,6000,0,0.24190418777502332,0.6405208607103478,0.9158888888888889,51.899845123291016
